,id,href,name_rus,name_eng,rating,rating_count,critics_rating,imdb_rating,imdb_rating_count,year,duration,genres,countries
15245,25414,/film/troe-v-kanoe-2004-25414/,Трое в каноэ,Without a Paddle,6.626,9052.0,14,5.9,40696,2004,103,"приключения,комедия","Новая Зеландия,США"
15247,4583,/film/4583/,Они,They,5.2410000000000005,1177.0,38,4.8,11533,2002,89,"триллер,детектив,ужасы","Канада,США"
15251,11569,/film/11569/,Покидая Лас-Вегас,Leaving Las Vegas,7.4639999999999995,12123.0,90,7.6,102054,1995,112,"драма,мелодрама","Франция,Великобритания,США"
15253,397592,/film/malchik-v-korobke-2009-397592/,Мальчик в коробке,Stolen,6.593999999999999,1399.0,0,6.1,4774,2009,91,"драма,детектив,криминал,триллер",США
15255,2983,/film/2983/,Таинственные люди,Mystery Men,5.794,1242.0,60,6.1,56289,1999,121,"боевик,фантастика,фэнтези,комедия",США
15256,4513,/film/4513/,Жанна Д'Арк,Jeanne d'Arc,7.268,33393.0,30,6.4,58620,1999,160,"история,военный,драма,биография,приключения","Чехия,Франция"
15258,6151,/film/6151/,Четыре свадьбы и одни похороны,Four Weddings and a Funeral,7.104,15223.0,95,7.1,118203,1993,117,"драма,мелодрама,комедия",Великобритания
15262,899,/film/899/,Предки,Folks!,7.066,375.0,0,5.5,2189,1992,108,комедия,США
15264,4229,/film/4229/,Террор,The Terror,6.007999999999999,650.0,36,5.0,5791,1963,81,"триллер,ужасы",США
15270,2316,/film/policeyskiy-iz-beverli-khillz-2-1987-2316/,Полицейский из Беверли-Хиллз 2,Beverly Hills Cop II,7.307,15665.0,48,6.5,94053,1987,102,"боевик,криминал,триллер,комедия",США
15278,5206,/film/mashinist-2004-5206/,Машинист,El Maquinista,7.572,78028.0,77,7.7,315229,2003,97,"драма,триллер",Испания
15281,7664,/film/oliver-1968-7664/,Оливер!,Oliver!,7.419,962.0,81,7.5,29514,1968,153,"драма,семейный,мюзикл",Великобритания
15282,281040,/film/povelitel-buri-2008-281040/,Повелитель бури,The Hurt Locker,7.297000000000001,64982.0,97,7.6,371057,2008,126,"военный,драма,история,триллер",США
15283,418839,/film/418839/,300 спартанцев: Расцвет империи,300: Rise of an Empire,6.574,68410.0,44,6.2,251000,2013,102,"боевик,военный,фэнтези",США
15284,6493,/film/6493/,Флюк,Fluke,7.99,3935.0,27,6.7,5766,1995,96,"драма,семейный,фэнтези",США
15285,566200,/film/troe-v-nyu-yorke-2011-566200/,Трое в Нью-Йорке,Generation Um...,5.272,1604.0,0,4.1,3205,2011,97,драма,США
15286,397580,/film/lyubovniki-2008-397580/,Любовники,Two Lovers,6.8260000000000005,6842.0,82,7.1,32459,2008,110,"драма,мелодрама",США
15287,81770,/film/tri-ekstrima-2004-81770/,Три... экстрима,Saam gaang yi,6.602,2630.0,84,7.0,17147,2004,118,"драма,ужасы","Корея Южная,Япония,Гонконг"
15289,1120,/film/s-terrasy-1960-1120/,С террасы,From the Terrace,7.499,256.0,27,6.7,2108,1960,149,"драма,мелодрама",США
15299,51248,/film/moey-sestre-2001-51248/,Моей сестре!,À ma soeur!,6.022,779.0,73,6.5,9125,2001,83,драма,"Франция,Италия"
15306,719608,/film/osnovnye-printsipy-dobra-2015-719608/,Основные принципы добра,The Fundamentals of Caring,6.985,5653.0,76,7.3,36802,2015,97,"драма,комедия",США
15308,848487,/film/848487/,Разум в огне,Brain on Fire,6.545,3709.0,13,6.6,3693,2016,88,"драма,биография","Ирландия,Канада"
15314,48039,/film/48039/,Испанский английский,Spanglish,7.0729999999999995,13823.0,53,6.4,69503,2004,126,"драма,мелодрама,комедия",США
15319,2001,/film/2001/,Изгои,The Outsiders,7.251,4066.0,64,7.2,65821,1983,91,"драма,криминал","Франция,США"
15320,257534,/film/tetrad-smerti-2006-257534/,Тетрадь смерти,Death Note,6.9910000000000005,11424.0,78,7.9,25066,2006,126,"драма,фэнтези,приключения,детектив,криминал",Япония
15321,687146,/film/obeshchanie-2013-687146/,Обещание,A Promise,5.7829999999999995,2778.0,13,5.7,3267,2013,98,"драма,мелодрама","Франция,Бельгия"
15327,409236,/film/vsyo-putyom-2009-409236/,Всё путём,Everybody's Fine,7.697,33148.0,46,7.1,53146,2009,99,драма,США
15331,484425,/film/484425/,Рога,Horns,6.519,30767.0,40,6.5,63630,2013,120,"драма,триллер,ужасы,фэнтези","Канада,США"
15333,1339,/film/1339/,Настоящее мужество,True Grit,7.193,1026.0,88,7.4,36976,1969,128,"драма,приключения,вестерн",США
15334,405607,/film/405607/,Звездные войны: Войны клонов,Star Wars: The Clone Wars,6.756,11933.0,18,5.9,47134,2008,98,"боевик,фантастика,фэнтези,приключения,мультфильм",США
15335,86881,/film/86881/,Чумовые боты,Kinky Boots,7.164,1723.0,57,7.1,15819,2005,107,"драма,музыка,комедия","Великобритания,США"
15342,464123,/film/464123/,Большой взрыв,The Big Bang,4.922,1247.0,19,5.5,6513,2010,97,"боевик,детектив,триллер",США
15348,178589,/film/178589/,Волки-оборотни,Skinwalkers,4.056,2332.0,13,4.6,12074,2006,89,"боевик,триллер,ужасы,фэнтези","Германия,Канада,США"
15349,15156,/film/videnie-1984-15156/,Видение,Dreamscape,6.234,470.0,77,6.3,11787,1984,99,"боевик,фантастика,ужасы,приключения,триллер",США
15351,83790,/film/pridurki-iz-khazzarda-2005-83790/,Придурки из Хаззарда,The Dukes of Hazzard,6.669,14790.0,14,5.1,70973,2005,99,"приключения,комедия",США
15360,102357,/film/102357/,Растворение мира,Drawing Restraint 9,7.046,279.0,58,6.6,1318,2005,135,фэнтези,"Япония,США"
15363,6147,/film/6147/,Крайние меры,Extreme Measures,6.818,1335.0,56,6.1,15128,1996,118,"драма,детектив,криминал,триллер",США
15366,70980,/film/edison-2005-70980/,Эдисон,Edison,6.0089999999999995,3151.0,0,5.3,13783,2005,99,"боевик,драма,криминал,триллер","Германия,США"
15369,13703,/film/13703/,Танкистка,Tank Girl,6.102,1891.0,38,5.3,27102,1995,104,"боевик,фантастика,комедия",США
15376,712538,/film/tom-na-ferme-2013-712538/,Том на ферме,Tom à la ferme,6.706,9203.0,79,7.0,12724,2013,103,"драма,детектив,триллер","Франция,Канада"
15378,938461,/film/938461/,Убийца 2. Против всех,Sicario 2: Soldado,7.082999999999999,12792.0,63,7.2,60720,2018,122,"боевик,драма,криминал,триллер",США
15387,817556,/film/vesna-2014-817556/,Весна,Spring,6.435,2731.0,88,6.7,18311,2014,109,"комедия,фантастика,ужасы,мелодрама",США
15394,7003,/film/7003/,Козерог один,Capricorn One,7.162999999999999,1611.0,61,6.8,17513,1977,123,"боевик,триллер","Великобритания,США"
15397,104938,/film/v-pogone-za-schastem-2006-104938/,В погоне за счастьем,The Pursuit of Happyness,8.252,196307.0,67,8.0,371287,2006,117,"драма,биография",США
15402,20583,/film/20583/,Папа-призрак,Ghost Dad,6.131,1237.0,7,4.3,6748,1990,83,"семейный,фэнтези,комедия",США
15404,77720,/film/idiokratiya-2005-77720/,Идиократия,Idiocracy,6.577000000000001,26392.0,76,6.6,122429,2005,84,"приключения,фантастика,комедия",США
15405,251434,/film/vse-parni-lyubyat-mendi-leyn-2006-251434/,Все  парни любят Мэнди Лейн,All the Boys Love Mandy Lane,5.127999999999999,2427.0,42,5.6,27498,2006,90,ужасы,США
15406,518370,/film/nash-den-pridet-2010-518370/,Наш день придет,Notre jour viendra,6.525,2120.0,50,6.2,3327,2010,90,"драма,криминал",Франция
15407,8439,/film/8439/,Ночь демона,Night of the Demon,6.93,564.0,100,7.6,9623,1957,95,"триллер,детектив,ужасы,фэнтези",Великобритания
15410,11619,/film/11619/,Жилец,Le locataire,7.8020000000000005,9859.0,90,7.7,32571,1976,126,"драма,детектив,триллер",Франция
15417,652690,/film/poslednyaya-devushka-2015-652690/,Последняя девушка,Final Girl,4.341,2308.0,33,4.7,11077,2015,90,"боевик,триллер","Канада,США"
15424,47238,/film/temnye-vody-2001-47238/,Темные воды,Honogurai mizu no soko kara,6.627000000000001,4390.0,80,6.7,26551,2001,101,"драма,триллер,детектив,ужасы",Япония
15432,198096,/film/gonzo-strakh-i-nenavist-khantera-s-tompsona-2008-198096/,Гонзо: Страх и ненависть Хантера С. Томпсона,Gonzo: The Life and Work of Dr. Hunter S. Thompson,7.707999999999999,3664.0,87,7.7,6842,2008,119,"музыка,биография,документальный",США
15434,8369,/film/8369/,Нечто,The Thing from Another World,6.646,1838.0,88,7.2,21302,1951,85,"фантастика,ужасы",США
15438,893916,/film/amerikanskaya-milashka-2016-893916/,Американская милашка,American Honey,6.928,3537.0,79,7.0,24317,2016,163,"драма,приключения,мелодрама","Великобритания,США"
15446,4842,/film/shkolnye-uzy-1992-4842/,Школьные узы,School Ties,7.231,2650.0,68,6.9,19546,1992,106,драма,США
15450,608559,/film/608559/,И грянул шторм,The Finest Hours,6.9910000000000005,37508.0,64,6.8,51583,2016,117,"боевик,драма,история,триллер",США
15454,4796,/film/vysokoe-iskusstvo-1998-4796/,Высокое искусство,High Art,6.776,934.0,73,6.7,9019,1998,101,"драма,мелодрама",США
15455,404227,/film/404227/,Катись!,Whip It,6.76,10251.0,84,6.9,58307,2009,110,"драма,спорт",США
15456,497575,/film/497575/,Хочу свистеть – свищу!,"Eu când vreau să fluier, fluier",6.577999999999999,533.0,67,7.2,5479,2010,94,драма,"Румыния,Швеция,Германия"
15463,474250,/film/livan-2009-474250/,Ливан,Lebanon,6.452000000000001,1943.0,89,6.9,9978,2009,93,"драма,военный","Германия,Франция,Великобритания,Израиль"
15467,261108,/film/bitva-za-planetu-terra-2007-261108/,Битва за планету Терра,Battle for Terra,6.565,7292.0,48,6.6,10587,2007,85,"военный,боевик,фантастика,приключения,мультфильм",США
15468,6893,/film/6893/,Поединок,Poolhall Junkies,7.263999999999999,749.0,34,7.0,8879,2002,99,"драма,спорт,триллер,комедия",США
15474,144168,/film/plavuchie-travy-1959-144168/,Плавучие травы,Ukikusa,7.382999999999999,402.0,95,8.0,5724,1959,119,драма,Япония
15476,846027,/film/846027/,Призраки Элоиз,Eloise,4.72,3952.0,0,4.5,2832,2016,89,"триллер,ужасы",США
15477,7893,/film/7893/,Милые шестнадцать лет,Sweet Sixteen,6.626,553.0,97,7.5,11445,2002,106,"драма,криминал","Германия,Великобритания,Испания"
15478,408871,/film/408871/,007: Координаты «Скайфолл»,Skyfall,7.43,118470.0,92,7.8,564563,2012,143,"боевик,приключения,триллер","Великобритания,США"
15479,463803,/film/463803/,Человек на Луне,First Man,7.375,10586.0,88,7.7,47401,2018,141,"драма,биография,история",США
15482,813476,/film/nimfomanka-chast-2-2013-813476/,Нимфоманка: Часть 2,Nymphomaniac: Vol. II,6.784,45717.0,60,6.7,72043,2013,123,драма,"Германия,Франция,Бельгия,Дания"
15488,255055,/film/255055/,Времена года,Iklimler,6.752999999999999,730.0,73,7.3,9128,2006,101,драма,"Турция,Франция"
15489,8162,/film/krepkiy-oreshek-3-vozmezdie-1995-8162/,Крепкий орешек 3: Возмездие,Die Hard with a Vengeance,7.636,61406.0,52,7.6,323533,1995,128,"боевик,приключения,триллер",США
15490,64187,/film/64187/,Пила: Игра на выживание,Saw,7.814,113336.0,49,7.7,326127,2004,103,"триллер,детектив,ужасы",США
15493,406209,/film/406209/,Посланник,The Messenger,6.947,5257.0,89,7.1,30991,2009,113,"драма,мелодрама,военный",США
15500,47024,/film/raznaya-lozh-2005-47024/,Разная ложь,Separate Lies,5.724,399.0,72,6.5,3751,2005,85,"драма,мелодрама,триллер",Великобритания
15504,4499,/film/4499/,Умереть заново,Dead Again,6.867999999999999,915.0,83,7.0,23182,1991,107,"драма,детектив,криминал,триллер",США
15509,81611,/film/81611/,Поединок,Annapolis,7.112,4154.0,10,5.8,18694,2005,108,"драма,мелодрама,спорт",США
15510,4813,/film/4813/,На живца,Bait,6.24,1407.0,26,5.7,9539,2000,119,"боевик,криминал,триллер,комедия","Канада,США"
15511,696154,/film/bolshaya-afera-2013-696154/,Большая афера,The Grand Seduction,7.3660000000000005,21927.0,60,7.0,13074,2013,113,"драма,комедия",Канада
15512,354,/film/apokalipsis-segodnya-1979-354/,Апокалипсис сегодня,Apocalypse Now,8.142999999999999,68353.0,96,8.5,512547,1979,194,"драма,военный",США
15513,805024,/film/rodnaya-krov-2015-805024/,Родная кровь,Bleeding Heart,4.783,253.0,43,5.1,1604,2015,80,драма,США
15514,14003,/film/14003/,Муки и радости,The Agony and the Ecstasy,7.361000000000001,186.0,86,7.2,5424,1965,138,"драма,биография,история","США,Италия"
15515,4455,/film/4455/,Аптечный ковбой,Drugstore Cowboy,7.252000000000001,6153.0,100,7.4,28598,1989,101,"драма,криминал",США
15519,419209,/film/419209/,Хижина в лесу,The Cabin in the Woods,6.657,85939.0,91,7.0,315256,2011,95,"комедия,триллер,ужасы,фэнтези",США
15524,606669,/film/606669/,Пена дней,L'écume des jours,6.938,14790.0,61,6.5,13682,2013,125,"драма,мелодрама,фэнтези","Франция,Бельгия"
15525,81287,/film/81287/,Мюнхен,Munich,7.404,23482.0,77,7.6,191870,2005,164,"драма,история,триллер","Франция,Канада,США"
15526,12844,/film/chelovek-makintosha-1973-12844/,Человек Макинтоша,The MacKintosh Man,6.459,170.0,60,6.3,3520,1973,98,триллер,"Великобритания,США"
15531,4592,/film/kanikuly-v-vegase-1997-4592/,Каникулы в Вегасе,Vegas Vacation,6.556,1839.0,13,5.9,37197,1997,93,комедия,США
15532,56309,/film/56309/,Мертвая хватка,Baxter,6.897,218.0,83,7.0,1576,1988,82,"драма,ужасы,комедия",Франция
15533,416131,/film/416131/,Пересчет ,Recount,6.39,335.0,77,7.5,10423,2008,111,"драма,история",США
15536,85553,/film/85553/,Пир,Feast,5.761,3584.0,57,6.4,26805,2005,83,"боевик,триллер,ужасы,комедия",США
15542,12321,/film/12321/,Веселые ребята,The Sunshine Boys,6.619,195.0,77,7.2,4629,1975,111,комедия,США
15543,3781,/film/3781/,Форс-мажор,Return to Paradise,7.465,2901.0,71,6.9,12378,1998,111,"драма,мелодрама,триллер",США
15548,501821,/film/501821/,Заражение,Contagion,6.452000000000001,45655.0,84,6.6,193261,2011,106,"драма,триллер","ОАЭ,США"
15562,663154,/film/tabu-2012-663154/,Табу,Tabu,6.702999999999999,1107.0,88,7.4,5473,2012,118,"драма,мелодрама","Португалия,Германия,Франция,Бразилия,Испания"
15565,37278,/film/bolshoy-boss-1971-37278/,Большой босс,Tang shan da xiong,7.519,4009.0,64,7.1,20718,1971,102,"боевик,драма,криминал,триллер",Гонконг
15566,48246,/film/bunker-2004-48246/,Бункер,Der Untergang,7.72,18900.0,91,8.2,274090,2004,156,"драма,биография,история,военный","Германия,Италия,Австрия"
15567,6186,/film/skubi-du-2-monstry-na-svobode-2004-6186/,Скуби-Ду 2: Монстры на свободе,Scooby Doo 2: Monsters Unleashed,5.8020000000000005,11172.0,22,5.0,38951,2004,93,"семейный,ужасы,фэнтези,приключения,детектив,комедия","Канада,США"
15569,88071,/film/88071/,Паутина Шарлотты,Charlotte's Web,6.659,9092.0,79,6.3,30573,2006,97,"семейный,фэнтези,комедия","Германия,Австралия,США"
15571,843,/film/843/,Комната сына,La stanza del figlio,6.612,1617.0,84,7.4,15818,2001,99,драма,"Франция,Италия"
15578,2223,/film/2223/,Елена в ящике,Boxing Helena,6.039,2899.0,18,4.6,10369,1992,100,"драма,детектив,мелодрама,триллер",США
15579,854259,/film/854259/,Турбо пацан,Turbo Kid,6.622999999999999,4354.0,90,6.7,21868,2015,93,"боевик,фантастика,ужасы,комедия","Новая Зеландия,Канада,США"
15582,6549,/film/6549/,Богус,Bogus,7.14,2287.0,40,5.3,5549,1996,110,"семейный,фэнтези,комедия",США
15585,78421,/film/78421/,Панк-рок жив,Punk's Not Dead,7.941,331.0,90,7.2,840,2007,93,"музыка,документальный",США
15592,3220,/film/mafiya-1998-3220/,Мафия!,Jane Austen's Mafia!,6.813,1466.0,14,5.5,13460,1998,83,"криминал,комедия",США
15593,8317,/film/8317/,"В субботу вечером, в воскресенье утром",Saturday Night and Sunday Morning,7.3,568.0,100,7.7,6204,1960,89,"драма,мелодрама",Великобритания
15595,627772,/film/virusnyy-faktor-2012-627772/,Вирусный фактор,Jik zin,6.216,281.0,56,6.0,2306,2012,122,"боевик,драма,триллер","Гонконг,Китай"
15598,77260,/film/novye-priklyucheniya-sticha-2003-77260/,Новые приключения Стича ,Stitch! The Movie,6.659,1887.0,20,6.2,6381,2003,60,"семейный,фантастика,приключения,мультфильм,комедия",США
15601,279791,/film/279791/,Соломон Кейн,Solomon Kane,6.132999999999999,33751.0,67,6.1,63473,2009,104,"боевик,приключения,фэнтези","Чехия,Франция,Великобритания"
15607,8110,/film/chyornyy-rytsar-2001-8110/,Чёрный рыцарь,Black Knight,6.534,18686.0,14,4.8,33815,2001,95,"приключения,фэнтези,комедия",США
15609,3466,/film/pole-1990-3466/,Поле,The Field,7.591,438.0,43,7.4,4835,1990,107,"драма,триллер",Ирландия
15610,298,/film/lyudi-iks-2-2003-298/,Люди Икс 2,X2,7.57,125782.0,85,7.5,456928,2003,134,"боевик,приключения,фантастика,триллер","Канада,США"
15616,41954,/film/chitay-po-gubam-2001-41954/,Читай по губам,Sur mes lèvres,7.09,3384.0,97,7.4,11797,2001,115,"драма,криминал,мелодрама,триллер",Франция
15619,86622,/film/morskoy-pekhotinets-2006-86622/,Морской пехотинец,The Marine,5.417999999999999,1981.0,20,4.7,29627,2006,92,"боевик,драма,комедия",США
15620,258933,/film/258933/,Невероятный Бёрт Уандерстоун,The Incredible Burt Wonderstone,6.0920000000000005,16987.0,37,5.9,65352,2013,100,"приключения,фэнтези,комедия",США
15621,9213,/film/9213/,Свидание на одну ночь,One Night Stand,6.962000000000001,1159.0,32,5.8,6032,1997,102,"драма,мелодрама",США
15626,943581,/film/943581/,Плохое сердце Бастера,Buster's Mal Heart,5.912999999999999,774.0,70,6.0,4016,2016,96,"драма,детектив,триллер",США
15631,739,/film/739/,Лиля навсегда,Lilja 4-ever,7.474,16736.0,86,7.9,37719,2002,109,"драма,криминал","Швеция,Дания"
15634,797198,/film/medovyy-mesyats-2013-797198/,Медовый месяц,Honeymoon,5.119,2295.0,73,5.7,21547,2013,87,"триллер,детектив,ужасы",США
15635,15559,/film/15559/,"Загнанных лошадей пристреливают, не правда ли?","They Shoot Horses, Don't They?",8.043,3975.0,81,7.9,13806,1969,129,драма,США
15638,258693,/film/258693/,Праздник любви,Feast of Love,7.357,10491.0,40,6.7,15092,2007,97,"драма,мелодрама",США
15641,6596,/film/mona-liza-1986-6596/,Мона Лиза,Mona Lisa,7.082000000000001,802.0,97,7.4,10960,1986,104,"драма,мелодрама,криминал",Великобритания
15644,798248,/film/neznakomets-2015-798248/,Незнакомец,El desconocido,6.311,1337.0,100,6.6,6383,2015,102,"детектив,триллер",Испания
15646,2886,/film/nevynosimaya-zhestokost-2003-2886/,Невыносимая жестокость,Intolerable Cruelty,6.787000000000001,26458.0,75,6.3,81360,2003,100,"мелодрама,криминал,комедия",США
15650,1109,/film/1109/,Умереть молодым,Dying Young,7.78,9260.0,23,5.9,12876,1991,111,"драма,мелодрама",США
15653,2230,/film/khishhnik-2-1990-2230/,Хищник 2,Predator 2,6.996,26531.0,27,6.3,122268,1990,108,"боевик,триллер,фантастика,ужасы",США
15654,462705,/film/462705/,Несносный Генри,Jesus Henry Christ,6.064,673.0,24,6.4,5531,2011,92,комедия,США
15656,597003,/film/597003/,Существует,Exists,5.167999999999999,1401.0,32,5.2,6867,2014,81,"боевик,приключения,ужасы",США
15658,775209,/film/775209/,Половое воспитание,Sex Ed,5.297000000000001,2302.0,64,5.6,4580,2014,92,"мелодрама,комедия",США
15660,944251,/film/944251/,Уотергейт. Крушение Белого дома,Mark Felt: The Man Who Brought Down the White House,5.769,2964.0,35,6.4,7646,2017,103,"драма,биография,история,триллер",США
15662,715,/film/715/,Необратимость,Irréversible,7.112,31689.0,57,7.4,99515,2002,99,"триллер,драма,мелодрама,детектив,криминал",Франция
15674,5052,/film/khellboy-geroy-iz-pekla-2004-5052/,Хеллбой: Герой из пекла,Hellboy,7.004,54818.0,81,6.9,271797,2004,122,"боевик,фантастика,ужасы,фэнтези",США
15675,261005,/film/261005/,Последний дом слева,The Last House on the Left,6.86,27208.0,41,6.6,75182,2009,110,"триллер,ужасы",США
15676,623044,/film/fantom-2012-623044/,Фантом,Phantom,5.602,2590.0,25,5.9,12436,2012,98,"военный,драма,история,триллер",США
15684,841335,/film/841335/,Да здравствует Цезарь!,"Hail, Caesar!",6.551,35978.0,86,6.3,96353,2016,106,"детектив,комедия","Япония,Великобритания,США"
15686,4544,/film/sabrina-1995-4544/,Сабрина,Sabrina,7.428999999999999,7799.0,64,6.3,32491,1995,127,"драма,комедия","Германия,США"
15688,4053,/film/4053/,В осаде,Under Siege,7.332999999999999,23746.0,77,6.5,68551,1992,103,"боевик,триллер","Франция,США"
15689,714888,/film/zvyozdnye-voyny-probuzhdenie-sily-2015-714888/,Звёздные войны: Пробуждение силы,Star Wars: Episode VII - The Force Awakens,7.112,153249.0,93,8.0,748593,2015,136,"боевик,приключения,фантастика,фэнтези",США
15691,12970,/film/shelkovye-chulki-1957-12970/,Шелковые чулки,Silk Stockings,6.803,170.0,100,6.9,3090,1957,117,"мелодрама,мюзикл,комедия",США
15692,179084,/film/samoubiytsy-istoriya-lyubvi-2006-179084/,Самоубийцы: История любви,Wristcutters: A Love Story,7.472,12626.0,67,7.4,48762,2006,88,"драма,мелодрама,фэнтези,комедия","Великобритания,США"
15693,3222,/film/goryachie-golovy-2-1993-3222/,Горячие головы 2,Hot Shots! Part Deux,7.547999999999999,17659.0,57,6.6,73849,1993,86,"боевик,комедия",США
15694,16411,/film/16411/,Как вода для шоколада,Como agua para chocolate,6.9510000000000005,648.0,91,7.2,15032,1991,113,"драма,мелодрама",Мексика
15700,798811,/film/798811/,Ксения,Xenia,6.028,111.0,86,6.8,2947,2014,134,"драма,мелодрама","Франция,Бельгия,Греция"
15703,1006007,/film/1006007/,Близнецы,Still/Born,5.377999999999999,247.0,70,5.3,2279,2017,87,"триллер,ужасы",Канада
15705,77435,/film/77435/,Скафандр и бабочка,Le scaphandre et le papillon,7.7,19426.0,94,8.0,97031,2007,107,"драма,биография","Франция,США"
15712,18343,/film/18343/,Дети века,Les enfants du siècle,7.146,377.0,43,6.5,1484,1999,135,"драма,биография,мелодрама",Франция
15715,9684,/film/o-myshakh-i-lyudyakh-1992-9684/,О мышах и людях,Of Mice and Men,7.782,3835.0,97,7.5,35294,1992,115,драма,США
15717,4487,/film/4487/,Попутчики,Going All the Way,6.107,349.0,68,5.7,1705,1997,103,"драма,комедия",США
15722,4444,/film/bezumno-vernaya-zhena-2000-4444/,Безумно верная жена,Committed,5.665,514.0,45,5.2,3414,2000,98,"драма,комедия",США
15728,4977,/film/4977/,В стране,In Country,5.9879999999999995,421.0,70,5.9,2437,1989,120,"драма,мелодрама,военный",США
15729,574985,/film/574985/,Сквозь тьму,Beneath the Darkness,4.727,432.0,4,4.5,5134,2011,96,"триллер,ужасы",США
15730,450204,/film/ne-otpuskay-menya-2010-450204/,Не отпускай меня,Never Let Me Go,7.016,34739.0,69,7.2,124784,2010,103,"драма,фантастика,мелодрама","Великобритания,США"
15731,39124,/film/shpionki-2004-39124/,Шпионки,D.E.B.S.,5.268,2409.0,38,5.3,12912,2004,91,"боевик,мелодрама,комедия",США
15734,906340,/film/morgan-2016-906340/,Морган,Morgan,5.705,12341.0,37,5.8,31679,2016,92,"боевик,триллер,фантастика,ужасы",США
15740,409776,/film/legendy-nochnykh-strazhey-2010-409776/,Легенды ночных стражей,Legend of the Guardians: The Owls of Ga’Hoole,7.527,52062.0,51,7.0,71432,2010,90,"семейный,боевик,фэнтези,приключения,мультфильм","Австралия,США"
15741,3606,/film/urbaniya-2000-3606/,Урбания,Urbania,6.145,75.0,72,7.0,2820,2000,103,драма,США
15742,19147,/film/19147/,Дом ночных призраков,House on Haunted Hill,6.821000000000001,847.0,92,6.9,18644,1959,75,"детектив,ужасы",США
15745,4071,/film/4071/,Слежка,Stakeout,7.334,1580.0,87,6.6,20384,1987,117,"боевик,криминал,триллер,комедия",США
15746,5619,/film/5619/,Звёздные войны: Эпизод 3 – Месть Ситхов,Star Wars: Episode III - Revenge of the Sith,8.052,176138.0,79,7.6,604931,2005,140,"боевик,приключения,фантастика,фэнтези",США
15749,4092,/film/alligator-1980-4092/,Аллигатор,Alligator,5.957999999999999,644.0,75,5.9,8789,1980,91,"фантастика,ужасы",США
15752,521527,/film/521527/,Овсянки,,5.784,7618.0,96,6.7,1877,2010,75,"драма,мелодрама",Россия
15757,675570,/film/stantsiya-frutveyl-2013-675570/,Станция «Фрутвейл»,Fruitvale Station,7.042000000000001,5125.0,94,7.5,64591,2013,90,"драма,биография,мелодрама",США
15758,102143,/film/102143/,Никогда не говори «Прощай»,Kabhi Alvida Naa Kehna,8.317,3688.0,64,6.1,15431,2006,193,"драма,мелодрама",Индия
15762,6560,/film/mylnaya-pena-1991-6560/,Мыльная пена,Soapdish,6.99,947.0,69,6.5,12689,1991,96,"мелодрама,комедия",США
15765,939411,/film/939411/,Мотылек,Papillon,7.462000000000001,5929.0,52,7.1,10765,2017,133,"драма,детектив,криминал,триллер","Чехия,Испания,США"
15766,769220,/film/samolety-ogon-i-voda-2014-769220/,Самолеты: Огонь и вода,Planes: Fire and Rescue,6.63,5345.0,44,6.0,14079,2014,83,"приключения,мультфильм,семейный,комедия",США
15767,645038,/film/otvyaznye-kanikuly-2012-645038/,Отвязные каникулы,Spring Breakers,4.99,24134.0,67,5.3,120204,2012,94,"драма,криминал",США
15770,609753,/film/609753/,Господин Лазар,Monsieur Lazhar,6.957000000000001,1238.0,97,7.5,17091,2011,94,"драма,комедия",Канада
15771,77082,/film/dvoynaya-porciya-2004-77082/,Двойная порция,Super Size Me,7.472,7388.0,92,7.2,90948,2004,100,"комедия,драма,документальный",США
15776,1008415,/film/1008415/,Мэри и ведьмин цветок,Meari to majo no hana,6.904,6354.0,87,6.8,5925,2017,102,"аниме,приключения,мультфильм,фэнтези",Япония
15780,2444,/film/boevik-dzhekson-1988-2444/,Боевик Джексон,Action Jackson,6.212999999999999,614.0,9,5.2,8222,1988,96,"боевик,криминал,триллер,комедия",США
15781,7464,/film/podvodnaya-bratva-2004-7464/,Подводная братва,Shark Tale,6.812,65264.0,35,6.0,142944,2004,90,"приключения,мультфильм,семейный,комедия",США
15787,252132,/film/norma-dzhin-i-merilin-1996-252132/,Норма Джин и Мэрилин ,Norma Jean & Marilyn,6.284,551.0,60,6.1,2364,1996,139,"драма,биография","Великобритания,США"
15790,569466,/film/pererostki-2011-569466/,Переростки,The Inbetweeners Movie,5.9639999999999995,6573.0,55,6.8,68416,2011,97,комедия,Великобритания
15792,929056,/film/dary-smerti-2015-929056/,Дары смерти,The Devil's Candy,5.627000000000001,4661.0,91,6.4,11285,2015,79,"драма,триллер,ужасы",США
15793,4773,/film/4773/,По взаимному согласию,Consenting Adults,6.315,668.0,25,5.7,6030,1992,99,"драма,детектив,криминал,триллер",США
15796,3224,/film/dorogaya-ya-uvelichil-rebenka-1992-3224/,"Дорогая, я увеличил ребенка",Honey I Blew Up the Kid,6.087999999999999,10378.0,42,4.8,35646,1992,86,"семейный,фантастика,мелодрама,приключения,комедия",США
15799,4492,/film/amneziya-2003-4492/,Амнезия,Twisted,6.532,3515.0,1,5.2,18062,2003,92,"драма,детектив,криминал,триллер","Германия,США"
15801,196661,/film/196661/,Влюбиться в невесту брата,Dan in Real Life,6.666,12672.0,65,6.8,91524,2007,98,"драма,мелодрама,комедия",США
