,id,href,name_rus,name_eng,rating,rating_count,critics_rating,imdb_rating,imdb_rating_count,year,duration,genres,countries
4852,8137,/film/8137/,Черепашки-ниндзя,Teenage Mutant Ninja Turtles,7.028,13300.0,40,6.7,75373,1990,93,"боевик,фантастика,комедия","Гонконг,США"
4854,980011,/film/980011/,Удача Логана,Logan Lucky,6.733,28620.0,92,7.0,95913,2017,118,"криминал,комедия",США
4855,714861,/film/714861/,Паранормальное явление 5: Призраки в 3D,Paranormal Activity: The Ghost Dimension,4.74,8867.0,15,4.6,20230,2015,88,ужасы,США
4856,885349,/film/885349/,Девять жизней,Nine Lives,6.126,17467.0,15,5.3,17211,2016,87,"драма,семейный,фэнтези,комедия","Франция,Канада,Китай"
4858,8393,/film/8393/,Командир эскадрильи,Wing Commander,5.892,828.0,10,4.2,15359,1999,100,"боевик,приключения,фантастика","Люксембург,США"
4863,694238,/film/peta-2012-694238/,Пьета,Pieta,7.355,4885.0,73,7.2,10955,2012,104,драма,Корея Южная
4864,12373,/film/12373/,Голубой гром,Blue Thunder,6.776,1845.0,80,6.4,13684,1982,105,"триллер,боевик,драма,фантастика,криминал",США
4865,596376,/film/khudozhnik-i-naturshhica-2012-596376/,Художник и натурщица,El artista y la modelo,6.433,169.0,70,6.6,1033,2012,105,драма,"Франция,Испания"
4869,462487,/film/462487/,Операция «Арго»,Argo,7.517,88692.0,96,7.7,507581,2012,120,"драма,биография,история,триллер",США
4874,409179,/film/409179/,Кошмар на улице Вязов,A Nightmare on Elm Street,5.647,42305.0,15,5.2,81835,2010,87,"драма,криминал,ужасы,детектив,триллер",США
4877,24856,/film/lyubov-doblest-sostradanie-1997-24856/,"Любовь, доблесть, сострадание",Love! Valour! Compassion!,6.718999999999999,65.0,67,6.8,3088,1997,108,"драма,мелодрама,комедия",США
4879,84344,/film/amoralnye-istorii-1974-84344/,Аморальные истории,Contes immoraux,5.851,870.0,33,5.7,2908,1974,103,"драма,мелодрама",Франция
4883,505811,/film/505811/,Секс по дружбе,Friends with Benefits,7.148,133050.0,69,6.6,300924,2011,109,"драма,мелодрама,комедия",США
4888,395709,/film/395709/,Тысяча слов,A Thousand Words,6.917000000000001,30824.0,0,5.9,34331,2009,91,"драма,фэнтези,комедия",США
4889,29836,/film/chernoe-rozhdestvo-1974-29836/,Черное Рождество,Black Christmas,5.985,1837.0,70,7.2,25281,1974,98,"триллер,детектив,ужасы",Канада
4893,489453,/film/489453/,Отморозки,Neds,7.053,3894.0,94,7.0,7407,2010,119,"драма,криминал","Франция,Великобритания,Италия"
4894,415416,/film/36-vidov-s-pika-sen-lu-2009-415416/,36 видов с пика Сен-Лу,36 vues du Pic Saint Loup,6.282,86.0,71,6.2,598,2009,84,"драма,комедия","Франция,Италия"
4901,6318,/film/otryad-stilyagi-1999-6318/,Отряд «Стиляги»,The Mod Squad,5.19,204.0,3,4.2,8095,1999,92,"боевик,криминал,триллер",США
4907,9024,/film/vysshee-obshchestvo-1956-9024/,Высшее общество,High Society,7.332999999999999,1152.0,81,7.0,11656,1956,111,"мелодрама,мюзикл,комедия",США
